fileName;_ID;use;hostgroups;host_name;address;alias;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Gryazinskij_pochtamt.cfg;utmGryazpochtamt;utm-server;utms;Грязинский почтамт СКЛАД;r48-399099skl03.main.russianpost.ru;ОПС Грязинский почтамт;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Lebedyanskij_pochtamt.cfg;utmlebpochtampt;utm-server;utms;Лебедянский почтамт СКЛАД;10.98.14.100;ОПС Лебедянский почтамт;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399264-N.cfg;utm399264;utm-server;utms;R48-399264-N;R48-399264-N.main.russianpost.ru;ОПС 399264 10.98.99.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399720-N.cfg;utm399720;utm-server;utms;R48-399720-N;R48-399720-N.main.russianpost.ru;ОПС 399720 10.98.136.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399925-N.cfg;utm399925;utm-server;utms;R48-399925-N;R48-399925-N.main.russianpost.ru;ОПС 399925 10.98.230.181;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399085-N.cfg;utm399085;utm-server;utms;R48-399085-N;R48-399085-N.main.russianpost.ru;ОПС 399085 10.98.96.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399252-N.cfg;utm399252;utm-server;utms;R48-399252-N;R48-399252-N.main.russianpost.ru;ОПС 399252 10.98.218.197;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399333-N.cfg;utm399333;utm-server;utms;R48-399333-N;R48-399333-N.main.russianpost.ru;ОПС 399333 10.98.100.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399088-N.cfg;utm399088;utm-server;utms;R48-399088-N;R48-399088-N.main.russianpost.ru;ОПС 399088 10.98.96.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399883-N.cfg;utm399883;utm-server;utms;R48-399883-N;R48-399883-N.main.russianpost.ru;ОПС 399883 10.98.142.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\usmanskii_pochtamt_prod.cfg;utmusmanskiipochtamtprod;utm-server;utms;Усманский почтамт СКЛАД;R48-399370SKL02.main.russianpost.ru;Усманский почтамт Склад;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399207-N.cfg;utm399207;utm-server;utms;R48-399207-N;10.98.6.163;ОПС 399207;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399379ip06.cfg;utm399379;utm-server;utms;R48-399379ip06;R48-399379ip06.main.russianpost.ru;ОПС 399379 10.98.12.38;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399206-N.cfg;utm399206;utm-server;utms;R48-399206-N;R48-399206-N.main.russianpost.ru;ОПС 399206 10.98.118.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399273-N.cfg;utm399273;utm-server;utms;r48-399273-N;r48-399273-N.main.russianpost.ru;ОПС 399273 10.98.121.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399274-N.cfg;utm399274;utm-server;utms;R48-399274-N;R48-399274-N.main.russianpost.ru;ОПС 399274;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399379ruk03.cfg;utm399379;utm-server;utms;R48-399379ruk03;R48-399379ruk03.main.russianpost.ru;ОПС 399379 10.98.12.30;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399445-N.cfg;utm399445;utm-server;utms;R48-399445-N;R48-399445-N.main.russianpost.ru;ОПС 399445 10.98.102.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399881-N.cfg;utm399881;utm-server;utms;R48-399881-N;R48-399881-N.main.russianpost.ru;ОПС 399881 10.98.142.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-zadonsk.cfg;utmZDN;utm-server;utms;ОПС Задонск СКЛАД;R48-399249SKL01.main.russianpost.ru;Усманский почтамт Склад ОПС Задонск;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399003-N.cfg;utm399003;utm-server;utms;R48-399003-N;R48-399003-N.main.russianpost.ru;ОПС 399003 10.98.114.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399502-N.cfg;utm399502;utm-server;utms;R48-399502-N;R48-399502-N.main.russianpost.ru;ОПС 399502 10.98.126.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399724-N.cfg;utm399724;utm-server;utms;R48-399724-N;R48-399724-N.main.russianpost.ru;ОПС 399724 10.98.136.227;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399726-N.cfg;utm399726;utm-server;utms;R48-399726-N;R48-399726-N.main.russianpost.ru;ОПС 399726 10.98.137.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399753-N.cfg;utm399753;utm-server;utms;R48-399753-N;R48-399753-N.main.russianpost.ru;ОПС 399753 10.98.108.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399268-N.cfg;utm399268;utm-server;utms;R48-399268-N;R48-399268-N.main.russianpost.ru;ОПС 399268 10.98.121.98;;;;;;;
